"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2","zoneID"
-0.5,-0.0375,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.5,0.10756,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50015,-0.037495,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50032,-0.037478,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50051,-0.037445,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50071,-0.03739,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50094,-0.037307,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50119,-0.03719,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50146,-0.037033,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50174,-0.036829,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50203,-0.036572,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50234,-0.036256,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50265,-0.035877,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50298,-0.035428,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50331,-0.034902,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50365,-0.034293,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.504,-0.033592,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50435,-0.032793,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.5047,-0.031885,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50506,-0.030859,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50542,-0.029705,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50578,-0.028411,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50614,-0.026967,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50649,-0.02536,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50683,-0.023581,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50717,-0.021616,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50749,-0.019456,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50779,-0.017092,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50807,-0.014515,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50832,-0.01172,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50853,-0.0087033,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50871,-0.0054642,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50885,-0.002006,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50895,0.0016644,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.509,0.0055358,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.509,0.0095928,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50895,0.013816,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50885,0.01818,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.5087,0.022659,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50851,0.027221,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50827,0.031833,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
-0.50801,0.036461,0.05,0,0,0,0.0001882,0,0.121,0,0,0,0,2
